Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
12,0.6666666666666667,0.13028932666176196,0.6666666666666667,0.13028932666176196,0.00442,0.004814976635457331,248.0,0.0
24,0.7333333333333333,0.08379501738332419,0.7333333333333333,0.08379501738332419,0.00442,0.004814976635457331,248.0,0.0
36,0.736111111111111,0.07081971546656647,0.736111111111111,0.07081971546656647,0.00442,0.004814976635457331,248.0,0.0
48,0.7395833333333334,0.06961783908251189,0.7395833333333334,0.06961783908251189,0.00442,0.004814976635457331,248.0,0.0
60,0.745,0.06336743721159498,0.745,0.06336743721159498,0.00442,0.004814976635457331,248.0,0.0
72,0.7444444444444445,0.06618913333578338,0.7444444444444445,0.06618913333578338,0.00442,0.004814976635457331,248.0,0.0
84,0.7345238095238095,0.06300657642032001,0.7345238095238095,0.06300657642032001,0.00442,0.004814976635457331,248.0,0.0
96,0.75,0.06211299937499417,0.75,0.06211299937499417,0.00442,0.004814976635457331,248.0,0.0
108,0.7564814814814815,0.05238737275007146,0.7564814814814815,0.05238737275007146,0.00442,0.004814976635457331,248.0,0.0
120,0.7575000000000001,0.05143766454003654,0.7575000000000001,0.05143766454003654,0.00442,0.004814976635457331,248.0,0.0
132,0.7613636363636364,0.044783201643859065,0.7613636363636364,0.044783201643859065,0.00442,0.004814976635457331,248.0,0.0
144,0.7569444444444444,0.04062483512681539,0.7569444444444444,0.04062483512681539,0.00442,0.004814976635457331,248.0,0.0
156,0.7564102564102564,0.040542021284209986,0.7564102564102564,0.040542021284209986,0.00442,0.004814976635457331,248.0,0.0
168,0.7547619047619047,0.0352482825257182,0.7547619047619047,0.0352482825257182,0.00442,0.004814976635457331,248.0,0.0
180,0.7555555555555555,0.034146460952936615,0.7555555555555555,0.034146460952936615,0.00442,0.004814976635457331,248.0,0.0
192,0.7546875,0.0293037864789889,0.7546875,0.0293037864789889,0.00442,0.004814976635457331,248.0,0.0
