Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
10,0.43,0.24517567397911055,0.43,0.24517567397911055,0.0127,70.0
20,0.485,0.19443650777453175,0.485,0.19443650777453175,0.0127,70.0
30,0.4833333333333333,0.2161675162038191,0.4833333333333333,0.2161675162038191,0.0127,70.0
40,0.48250000000000004,0.22609302411962107,0.48250000000000004,0.22609302411962107,0.0127,70.0
50,0.492,0.21295800316285626,0.492,0.21295800316285626,0.0127,70.0
60,0.5366666666666667,0.1768726960762569,0.5366666666666667,0.1768726960762569,0.0127,70.0
70,0.5842857142857143,0.14837746801948407,0.5842857142857143,0.14837746801948407,0.0127,70.0
80,0.6328571428571428,0.12047713156041251,0.6075,0.13139211882334836,0.0127,70.0
90,0.6599999999999999,0.11264698133384721,0.6211111111111112,0.12466140698836285,0.0127,70.0
100,0.6928571428571428,0.07918232927769472,0.63,0.11175369742826806,0.0127,70.0
110,0.7385714285714287,0.06137132807180447,0.6454545454545454,0.09875254992000196,0.0127,70.0
120,0.7671428571428571,0.06769613312375604,0.6525000000000001,0.09876162222589988,0.0127,70.0
130,0.75,0.08003683959034101,0.6515384615384615,0.10062591753331462,0.0127,70.0
140,0.7057142857142857,0.08913797300417214,0.645,0.09434401756758957,0.0127,70.0
150,0.6785714285714286,0.0891506915564241,0.6406666666666667,0.09170268652580131,0.0127,70.0
160,0.67,0.08688355905732181,0.6425,0.091277583350033,0.0127,70.0
170,0.6528571428571428,0.09760162446140777,0.6394117647058823,0.08873713497411369,0.0127,70.0
180,0.6285714285714286,0.10367400503370115,0.638888888888889,0.08666191819850066,0.0127,70.0
190,0.6071428571428571,0.08683134537528793,0.6357894736842106,0.08164211853339619,0.0127,70.0
200,0.5928571428571429,0.07773727484435479,0.631,0.07852105167122736,0.0127,70.0
210,0.6028571428571429,0.07184008444055662,0.6309523809523809,0.0730589934785083,0.0127,70.0
220,0.6185714285714285,0.09160944410612425,0.6336363636363636,0.07263883511806517,0.0127,70.0
230,0.6271428571428571,0.10245290937526266,0.6378260869565218,0.07284104684475663,0.0127,70.0
240,0.6457142857142857,0.10917127528310178,0.6412500000000001,0.0699826367354392,0.0127,70.0
250,0.6528571428571428,0.10302675609595463,0.6428,0.06542986066519374,0.0127,70.0
260,0.6599999999999999,0.09777571632541406,0.6423076923076924,0.06196433832612604,0.0127,70.0
270,0.6757142857142857,0.09210316605458742,0.6425925925925926,0.0597523211868151,0.0127,70.0
280,0.6814285714285714,0.07378647873726217,0.6435714285714286,0.05641400253961499,0.0127,70.0
290,0.6771428571428572,0.0560207282661057,0.6441379310344828,0.053514357863622145,0.0127,70.0
300,0.6699999999999999,0.07452038635071219,0.6453333333333333,0.05758943661711356,0.0127,70.0
310,0.6771428571428572,0.08308125138119768,0.6493548387096775,0.058363428141937734,0.0127,70.0
320,0.6771428571428572,0.09065145930888227,0.6503125,0.05997413360265315,0.0127,70.0
330,0.6942857142857143,0.07474825474418509,0.6533333333333333,0.05872849234121526,0.0127,70.0
340,0.7085714285714285,0.07801389491913294,0.6561764705882352,0.05850321284434167,0.0127,70.0
350,0.7171428571428572,0.07120600244769047,0.6582857142857143,0.05685961548424218,0.0127,70.0
351,0.7114285714285714,0.07056622305844841,0.6581196581196581,0.0563753925153118,0.0127,70.0
