instances,mae,rmse,rmae,rrmse,r2,adjusted_r2
100.0,2.93834871085666,4.006895868343747,0.6600329850768758,0.7368534828591757,0.45704694479830243,0.38917781289809017
200.0,2.3560041652002415,3.001671065481085,0.584368576285274,0.6105563090126293,0.6272209935248748,0.6054094559119686
300.0,2.358821993866172,2.9672442510985997,0.6398262909696503,0.6475720636701229,0.5806504223540183,0.5646335982078177
400.0,2.0795738425389665,2.6375199717114466,0.5079870319849142,0.5239615710182567,0.7254642720960803,0.7176810426967424
500.0,2.096621116964659,2.5983294209972065,0.511281991190085,0.5116037399573864,0.7382616132616149,0.7323617725769381
600.0,2.4655367803330477,3.0887825561394804,0.5912094615921119,0.6068516546942683,0.6317310691948286,0.6248416844348679
700.0,2.4728289243963615,2.983983710992808,0.5695317448961451,0.581767345499946,0.6615467557099464,0.6561354393041461
800.0,2.3805007898088655,3.023240782107167,0.5445691036479865,0.5676558914366929,0.6777667889172134,0.6732686095746871
900.0,2.1876890239241584,2.7201891608949937,0.5703054792546941,0.5793393817351491,0.6643658807707352,0.6602082509154177
1000.0,2.3548218498501567,2.8717255495947946,0.6151645349625122,0.6147059308099759,0.6221366186270411,0.617929637660338
1100.0,1.9562342613409882,2.470957412860887,0.5223258374331592,0.5306893335470098,0.7183688312594306,0.7155214573107668
1200.0,2.029971813615902,2.588009560072764,0.542916620573627,0.5550157866768215,0.6919574765395089,0.6891052309519118
1300.0,1.904118515772072,2.4226881494318975,0.48232757299463785,0.5009299977823981,0.7490691373217266,0.746926094239847
1400.0,1.8589944271282113,2.4909833962713424,0.4494172757215432,0.5002097708961362,0.749790185100035,0.7478072542903091
1500.0,2.297332073986314,3.0320685459276135,0.5724697297085795,0.6153643851788847,0.6213266734534132,0.618527341066308
1600.0,2.090738565926926,2.519690757108346,0.5474600988046641,0.5317747511826711,0.7172156140046082,0.7152567800965797
1700.0,2.0012720016408623,2.619306242907646,0.48374727382633964,0.5135160387505977,0.7363012779458946,0.734582862103125
1800.0,2.2556472836769204,2.907638825552932,0.5194710947379529,0.5479174292609702,0.6997864907120497,0.6979395395922692
1900.0,2.0889459329109443,2.6723649251202364,0.5673244676458873,0.5570295029841964,0.6897181328051791,0.6879103465026669
2000.0,2.369082510252191,2.847634171135257,0.5605135948091086,0.5814111270887364,0.6619611012974052,0.6600906647351674
2100.0,1.8716102769060439,2.3036945625142384,0.44638124601027324,0.4443780188488407,0.8025281763639793,0.8014878554540195
2200.0,2.2336574516839836,2.9296706069257077,0.5042194337605156,0.5305065698714454,0.7185627793232332,0.7171478755629752
2300.0,2.181925183343211,2.801716413977091,0.5368007710866759,0.5696448862359125,0.6755047035852744,0.673944630044819
2400.0,2.2630992458876498,2.694102403688655,0.5831286921952069,0.5624375475329234,0.6836640051251506,0.6822068460197807
2500.0,2.448833165000926,3.270320827952739,0.6441541839812129,0.6762693775705139,0.5426597289603898,0.5406377261543465
2600.0,2.130795633706976,2.662109643587203,0.5594517953776382,0.5552515718073612,0.6916956920054549,0.6903852795680747
