Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
46,0.5978260869565217,0.0572876387711663,0.5978260869565217,0.0572876387711663,0.001,0.0,920.0,0.0
92,0.5858695652173913,0.043613918799432355,0.5858695652173913,0.043613918799432355,0.001,0.0,920.0,0.0
138,0.5992753623188406,0.04212189187208826,0.5992753623188406,0.04212189187208826,0.001,0.0,920.0,0.0
184,0.5978260869565217,0.031689955950246144,0.5978260869565217,0.031689955950246144,0.001,0.0,920.0,0.0
230,0.5860869565217391,0.03303584961520383,0.5860869565217391,0.03303584961520383,0.001,0.0,920.0,0.0
276,0.5898550724637681,0.0310647177116382,0.5898550724637681,0.0310647177116382,0.001,0.0,920.0,0.0
322,0.5937888198757764,0.02585091542692937,0.5937888198757764,0.02585091542692937,0.001,0.0,920.0,0.0
368,0.5978260869565217,0.022001735147628855,0.5978260869565217,0.022001735147628855,0.001,0.0,920.0,0.0
414,0.5973429951690822,0.02169584764957033,0.5973429951690822,0.02169584764957033,0.001,0.0,920.0,0.0
460,0.5954347826086956,0.019429210583617133,0.5954347826086956,0.019429210583617133,0.001,0.0,920.0,0.0
506,0.5992094861660079,0.013717433554487877,0.5992094861660079,0.013717433554487877,0.001,0.0,920.0,0.0
552,0.6043478260869566,0.009323796650057383,0.6043478260869566,0.009323796650057383,0.001,0.0,920.0,0.0
598,0.6050167224080268,0.009933854809340217,0.6050167224080268,0.009933854809340217,0.001,0.0,920.0,0.0
644,0.6055900621118012,0.011101247717146615,0.6055900621118012,0.011101247717146615,0.001,0.0,920.0,0.0
690,0.6084057971014494,0.01272284384261373,0.6084057971014494,0.01272284384261373,0.001,0.0,920.0,0.0
736,0.6072010869565218,0.011285264980565564,0.6072010869565218,0.011285264980565564,0.001,0.0,920.0,0.0
782,0.6075447570332481,0.009249885086753297,0.6075447570332481,0.009249885086753297,0.001,0.0,920.0,0.0
828,0.6082125603864734,0.0077478980507049156,0.6082125603864734,0.0077478980507049156,0.001,0.0,920.0,0.0
874,0.6080091533180778,0.010335551295776865,0.6080091533180778,0.010335551295776865,0.001,0.0,920.0,0.0
920,0.6069565217391304,0.009898667429871983,0.6069565217391304,0.009898667429871983,0.001,0.0,920.0,0.0
966,0.6077173913043479,0.011655746982633386,0.6072463768115942,0.012084194026562205,0.001,0.0,920.0,0.0
1012,0.6095652173913043,0.013081667122457797,0.6074110671936759,0.012968151960094187,0.001,0.0,920.0,0.0
1058,0.606304347826087,0.013359693539455864,0.6053875236294897,0.011957756593792319,0.001,0.0,920.0,0.0
1104,0.6064130434782609,0.014703628884511823,0.604981884057971,0.012518000878031742,0.001,0.0,920.0,0.0
1150,0.6097826086956522,0.01632446424067942,0.6050434782608696,0.012492719997264656,0.001,0.0,920.0,0.0
1196,0.6108695652173913,0.016468577068642756,0.6060200668896322,0.01176393639320367,0.001,0.0,920.0,0.0
1242,0.6115217391304347,0.01617257539531148,0.6069243156199677,0.013152475058114272,0.001,0.0,920.0,0.0
1288,0.6097826086956522,0.01592555143176518,0.6063664596273293,0.011631576115033236,0.001,0.0,920.0,0.0
1334,0.6089130434782609,0.01746512112144083,0.6053223388305847,0.011337005344353489,0.001,0.0,920.0,0.0
1380,0.6096739130434783,0.016109544789109677,0.604927536231884,0.011209395178568629,0.001,0.0,920.0,0.0
1426,0.606304347826087,0.017092849716977422,0.6037868162692848,0.011283327149272694,0.001,0.0,920.0,0.0
1472,0.6039130434782608,0.01933710282006171,0.6040760869565218,0.010995272489495325,0.001,0.0,920.0,0.0
1518,0.6027173913043479,0.01838388802169909,0.6036231884057971,0.011201313828229361,0.001,0.0,920.0,0.0
1564,0.6032608695652174,0.013391100443895881,0.6042199488491049,0.009464451539290056,0.001,0.0,920.0,0.0
1610,0.6007608695652173,0.015726891576931162,0.6040372670807453,0.008731317964372447,0.001,0.0,920.0,0.0
1656,0.6018478260869565,0.01901431877350595,0.6042270531400966,0.009446403927238799,0.001,0.0,920.0,0.0
1702,0.5982608695652174,0.01756555220420373,0.6025264394829613,0.009364935539369564,0.001,0.0,920.0,0.0
1748,0.5980434782608696,0.017138868421049346,0.6028604118993135,0.009621269906616948,0.001,0.0,920.0,0.0
1794,0.5977173913043479,0.01645621701196495,0.6027313266443701,0.009393884729487274,0.001,0.0,920.0,0.0
1840,0.5977173913043479,0.015771901852621614,0.6023369565217391,0.009565663417356677,0.001,0.0,920.0,0.0
1886,0.5971739130434782,0.01683282018346044,0.6023329798515376,0.008505627016978413,0.001,0.0,920.0,0.0
1932,0.596304347826087,0.014922962574980962,0.6021221532091097,0.007496941454078056,0.001,0.0,920.0,0.0
1978,0.596304347826087,0.01409043017946231,0.6011627906976744,0.007135599914637469,0.001,0.0,920.0,0.0
2024,0.5971739130434782,0.013874493695241895,0.6014328063241107,0.006550662166333277,0.001,0.0,920.0,0.0
2070,0.5965217391304348,0.010721209792952047,0.601256038647343,0.006307796803784901,0.001,0.0,920.0,0.0
2116,0.5954347826086956,0.012003640139622412,0.6014177693761814,0.005689426312795565,0.001,0.0,920.0,0.0
