Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
71,0.004225352112676056,0.006803463261121803,0.004225352112676056,0.006803463261121803,0.0001,0.0,1000.0,0.0
142,0.006338028169014085,0.0061661622237388245,0.006338028169014085,0.0061661622237388245,0.0001,0.0,1000.0,0.0
213,0.007042253521126761,0.005959133885652511,0.007042253521126761,0.005959133885652511,0.0001,0.0,1000.0,0.0
284,0.007394366197183098,0.007129738285674855,0.007394366197183098,0.007129738285674855,0.0001,0.0,1000.0,0.0
355,0.007042253521126761,0.006263692048885603,0.007042253521126761,0.006263692048885603,0.0001,0.0,1000.0,0.0
426,0.007511737089201878,0.005620746477642558,0.007511737089201878,0.005620746477642558,0.0001,0.0,1000.0,0.0
497,0.007243460764587525,0.005382267645268646,0.007243460764587525,0.005382267645268646,0.0001,0.0,1000.0,0.0
568,0.008274647887323943,0.005812526063105344,0.008274647887323943,0.005812526063105344,0.0001,0.0,1000.0,0.0
639,0.008920187793427231,0.005668952733186086,0.008920187793427231,0.005668952733186086,0.0001,0.0,1000.0,0.0
710,0.008873239436619718,0.004835908650448109,0.008873239436619718,0.004835908650448109,0.0001,0.0,1000.0,0.0
781,0.008962868117797696,0.0043942083401566365,0.008962868117797696,0.0043942083401566365,0.0001,0.0,1000.0,0.0
852,0.00892018779342723,0.004110774815825883,0.00892018779342723,0.004110774815825883,0.0001,0.0,1000.0,0.0
923,0.009100758396533045,0.004027979340873582,0.009100758396533045,0.004027979340873582,0.0001,0.0,1000.0,0.0
994,0.009154929577464789,0.004008745406376554,0.009154929577464789,0.004008745406376554,0.0001,0.0,1000.0,0.0
1065,0.0098,0.0041579909678700466,0.009389671361502348,0.004008215485090985,0.0001,0.0,1000.0,0.0
1136,0.0097,0.003713339317768966,0.009330985915492957,0.0036460621049317055,0.0001,0.0,1000.0,0.0
1207,0.0098,0.0035527766918597944,0.00936205468102734,0.003428252445994526,0.0001,0.0,1000.0,0.0
1278,0.0097,0.0031640339933558096,0.009233176838810642,0.0031036984414488295,0.0001,0.0,1000.0,0.0
1349,0.010199999999999999,0.0037947331922020553,0.009414381022979984,0.0032226931236892745,0.0001,0.0,1000.0,0.0
1420,0.0106,0.003533962208186286,0.009718309859154929,0.0030750277734859746,0.0001,0.0,1000.0,0.0
1491,0.0109,0.003842742076521226,0.0096579476861167,0.0031962559357319948,0.0001,0.0,1000.0,0.0
1562,0.0104,0.0036575644598253877,0.009667093469910373,0.0033121966664431393,0.0001,0.0,1000.0,0.0
1633,0.010499999999999999,0.0035355339059327377,0.009797917942437232,0.0032531899266195607,0.0001,0.0,1000.0,0.0
1704,0.010499999999999999,0.0035668224265054498,0.009800469483568075,0.0028756533904771894,0.0001,0.0,1000.0,0.0
1775,0.010499999999999999,0.0033416562759605705,0.009859154929577464,0.0026324592993194717,0.0001,0.0,1000.0,0.0
1846,0.0106,0.0033730961708462706,0.009859154929577464,0.0025638482266953917,0.0001,0.0,1000.0,0.0
1917,0.0104,0.0032386554137309657,0.009754825247782994,0.002281114407735367,0.0001,0.0,1000.0,0.0
1988,0.0103,0.0036832956257496718,0.009758551307847082,0.002226956098710126,0.0001,0.0,1000.0,0.0
2059,0.0101,0.003414023367751831,0.009762020398251577,0.002141003135905664,0.0001,0.0,1000.0,0.0
2130,0.010100000000000001,0.003510302297840205,0.00971830985915493,0.0021001774847412584,0.0001,0.0,1000.0,0.0
2201,0.0107,0.003591656999213594,0.009995456610631531,0.0020543177292519366,0.0001,0.0,1000.0,0.0
2272,0.0109,0.003414023367751831,0.009903169014084506,0.0018470772171382294,0.0001,0.0,1000.0,0.0
2343,0.0104,0.003438345855527367,0.009816474605207,0.001898088499662304,0.0001,0.0,1000.0,0.0
2414,0.0104,0.0030983866769659332,0.009942004971002486,0.0015622353630191607,0.0001,0.0,1000.0,0.0
2485,0.0103,0.002668749186833079,0.009899396378269618,0.0015780486835522732,0.0001,0.0,1000.0,0.0
2556,0.010499999999999999,0.0031710495984067404,0.010015649452269171,0.0016516578194040233,0.0001,0.0,1000.0,0.0
2627,0.01,0.00298142396999972,0.009859154929577464,0.0016684614209949485,0.0001,0.0,1000.0,0.0
2698,0.010100000000000001,0.0028848262031225067,0.009933283914010379,0.001570570653033922,0.0001,0.0,1000.0,0.0
2769,0.0099,0.002330951164939612,0.009895269050198628,0.0015621647475630993,0.0001,0.0,1000.0,0.0
2840,0.010499999999999999,0.0018408935028645435,0.010035211267605634,0.0015768813195474651,0.0001,0.0,1000.0,0.0
2911,0.0107,0.0016363916944844767,0.010099622122981794,0.0016047496201859477,0.0001,0.0,1000.0,0.0
2982,0.0109,0.0017288403306519918,0.010160965794768611,0.0016583688341742203,0.0001,0.0,1000.0,0.0
3053,0.0107,0.0017029386365926401,0.010022928267278085,0.001685796184353644,0.0001,0.0,1000.0,0.0
